PurchaseOrderLineID,PurchaseOrderID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,LastEditedBy,LastEditedWhen
264,52,180,13,"The Gu red shirt XML tag t-shirt |White| XXS","13","6",84,"00:00.0","TRUE","4","00:00.0"
270,54,129,9,"The Gu red shirt XML tag t-shirt |White| XXS","9","6",84,"00:00.0","TRUE","4","00:00.0"
272,56,84,18,"The Gu red shirt XML tag t-shirt |White| XXS","18","6",84,"00:00.0","TRUE","4","00:00.0"
324,69,8,64,"The Gu red shirt XML tag t-shirt |White| XXS","64","6",84,"00:00.0","TRUE","4","00:00.0"
330,70,15,8,"The Gu red shirt XML tag t-shirt |White| XXS","8","6",84,"00:00.0","TRUE","4","00:00.0"
469,106,172,92,"The Gu red shirt XML tag t-shirt |White| XXS","92","6",84,"00:00.0","TRUE","4","00:00.0"
476,108,147,6,"The Gu red shirt XML tag t-shirt |White| XXS","6","6",84,"00:00.0","TRUE","4","00:00.0"
606,144,102,205,"The Gu red shirt XML tag t-shirt |White| XXS","205","6",84,"00:00.0","TRUE","4","00:00.0"
840,206,185,261,"The Gu red shirt XML tag t-shirt |White| XXS","261","6",84,"00:00.0","TRUE","4","00:00.0"
1135,285,173,376,"The Gu red shirt XML tag t-shirt |White| XXS","376","6",84,"00:00.0","TRUE","4","00:00.0"
1264,319,211,405,"The Gu red shirt XML tag t-shirt |White| XXS","405","6",84,"00:00.0","TRUE","4","00:00.0"
1299,329,56,423,"The Gu red shirt XML tag t-shirt |White| XXS","423","6",84,"00:00.0","TRUE","4","00:00.0"
1669,428,10,567,"The Gu red shirt XML tag t-shirt |White| XXS","567","6",84,"00:00.0","TRUE","4","00:00.0"
1949,502,203,680,"The Gu red shirt XML tag t-shirt |White| XXS","680","6",84,"00:00.0","TRUE","4","00:00.0"
1965,506,130,688,"The Gu red shirt XML tag t-shirt |White| XXS","688","6",84,"00:00.0","TRUE","4","00:00.0"
1981,510,126,703,"The Gu red shirt XML tag t-shirt |White| XXS","703","6",84,"00:00.0","TRUE","4","00:00.0"
2127,549,33,761,"The Gu red shirt XML tag t-shirt |White| XXS","761","6",84,"00:00.0","TRUE","4","00:00.0"
2324,602,193,849,"The Gu red shirt XML tag t-shirt |White| XXS","849","6",84,"00:00.0","TRUE","4","00:00.0"
